_id,content,category
122367,آیا این مطلب از نظر معظم له صحیح است : اگر زن قبل از دخول مهریه ی خود را ببخشد و مرد بعد از آن در حالی که هنوز زن باکره است او را طلاق بدهد، زن نیمی از مهریه را بدهکار است.,احکام و فقه
122368,اگر خانمی چندین مرتبه مهریه ی خود را با شرط بخشیده باشد،ولی نمی داند که آیا با هر دفعه بخشیدن شرط را نیز ذکر کرده است یا نه، در این صورت می تواند مهریه ی خود را مطالبه نماید؟,احکام و فقه
122370,مردی همسرش را طلاق داده و در مقابل مهریه حق حضانت را به همسرش داده ولی همسرش ازدواج کرده. آیا مرد می تواند دخترش را که الان 7 سال دارد از همسر اولش بگیرد؟,احکام و فقه
122371,چنانچه در عقد موقّت شرط عدم دخول شده باشد، اما بعدا دخول صورت بگیرد یا به نحو دیگری پرده ی بکارت از بین برود، مهریه به چه صورت خواهد بود؟,احکام و فقه
122372,آیا مقتضاى عقد نکاح، وجوب تقابض مهریّه و بضع است، یا واجب است نخست مهریّه تسلیم گردد؟,احکام و فقه
122373,اگر در صیغه محرمیّت ، مهریه معین بشود ولی داماد اشتباها چیز دیگری شنیده باشد بعدا متوجه شود آیا صیغه باطل است؟,احکام و فقه
122374,اگر زوج در هنگام ازدواج جهیزیّه زوجه را از مال خودش تهیّه نماید. آیا در موقع طلاق زوجه حقّ مطالبه و استرداد چنین جهیزیّه اى را دارد یا نمی تواند مطالبه نماید؟,احکام و فقه
122375,چنانچه زوجین در مقدار و اوصاف مهریه اختلاف نمایند، حکم چیست؟,احکام و فقه
122376,آیا امکان این هست که بعد از جاری کردن عقد ازدواج دائم مهریه را تغییر داد یعنی به گونه ای که مثلا اگر مهریه 300 سکه باشد بعد از جاری کردن عقد بخواهند صد سکه و یک واحد آپارتمان باشد؟آیا باید از طریق عقد خارج لازم انجام بگیرد یا اینکه به مصالحه هم مساله مشروعیت پیدا می کند؟,احکام و فقه
122377,اگر زن مهریّه خود را به مردش ببخشد و بگوید: «به شرط آن که تا وقتى که من زنده هستم زن دوّمى نگیری، در این صورت: الف) آیا این شرط از نظر شرعى صحیح است؟ ب) اگر مرد خلاف شرط عمل کند، زن اوّل و زن دوّم نسبت به مرد چه حکمى پیدا مى کنند؟,احکام و فقه
122379,اگر زوج از پرداخت مهریه عاجز باشد، می¬توان او را به زندان انداخت؟,احکام و فقه
122380,آیا مهریه حتماً باید به صورت عند المطالبه در عقدنامه ها ثبت شود؟,احکام و فقه
122381,اگر مهریّه مبلغی پول و نصف مایملک داماد باشد، آیا این مهریه صحیح است؟,احکام و فقه
122382,چون درهم سکه دار در این زمان وجود ندارد، آیا مبناى قیمت مهرالسّنه نرخ نقره عمومى مى باشد؟,احکام و فقه
122383,در عقد موقت در صورتى که دخول صورت نگیرد حداقل مقدار مهریه براى یک هفته چه میزان مناسب است که عقد صحیح باشد؟,احکام و فقه
122384,اگر در هنگام اجرای عقد دائم مثلاً یکصد سکه را به عنوان مهریه ذکر کنند ولی در سند ازدواج پنجاه سکه نوشته بشود : لطفا با توجه به مورد ذکر شده به سؤالات زیر پاسخ بدهید: الف: آیا چنین کاری توسط عاقد صحیح است؟ ب: معیار کدام یک از موارد مهریه می باشد و مرد باید پرداخت نماید؟ ج: آیا قصد جدی مربوط به عاقد است یا طرفین؟,احکام و فقه
122385,با توجه به اینکه یکی از ارکان عقد موقّت تعیین مهر می باشد آیا این مهر حتما باید نقدی باشد یا می تواند غیر نقدی باشد؟ مانند یک شاخه گل.,احکام و فقه
122386,آیا شأن و موقعیّت کارى، اجتماعى، مالى و قدرت بالقوّه انسانها در تعیین مهریّه دخالت دارد؟ (مثلا اگر یک فرد کارگر مهریّه همسرش را 10 کیلو طلا قرار دهد),احکام و فقه
122388,آیا می توان مهریه را با حق طلاق به گونه ای که هرگز مهر و مهر المثل قابل اجرا نباشد، معاوضه کرد؟,احکام و فقه
122391,فقهاى شیعه اکثرا فرموده اند زوجه حق دارد مهر غیر مؤجّل را مطالبه و قبل از دخول مى تواند از تمکین تا گرفتن مهر امتناع نماید، آیا در این مدت نفقه به زن تعلق می گیرد؟,احکام و فقه
122392,مردی در سند ازدواج در سال 70 مهریه همسرش را 300 سکه بهار آزادی قرار داده آن زمان ازرش سکه بسیار پایین بوده در حال حاضر ارزش سکه چند میلیون تومان شده و زن آن را مطالبه کرده است . با توجه به اینکه ارزش عرفی سکه در آن زمان مثلا مبلغ 200 هرار تومان بوده و مهریه در عقد بر مبنای همین مبنا توافق شده آیا امکان دارد بتوان مهریه را تعدیل کرد ؟ متاسفانه همین مسئله باعث مشکلات فراوان برای خانواده ها شده است.,احکام و فقه
122398,"۱. آیا کسی که کاشت ناخن برایش ضرورت ندارد و به دلیل عدم امکان یا ضرر یا مشقت زیاد، هنگام وضو یا غسل، ناخن مصنوعی را برنخواهد داشت، جایز است اقدام به کاشت ناخن کند؟
۲. کسی که بدون ضرورت ناخن مصنوعی کاشته...",احکام و فقه
122399,اگر در وضو، تنها دست را تر کنیم و به صورت و دستها بکشیم (بدون ریختن آب)، کفایت می کند؟,احکام و فقه
122400,مادر بزرگم برای انجام فریضه حج ثبت نام کرد ولی بیمار شد و نتوانست مشرف شود و مادرم به نیابت از ایشان به حج مشرف شد، آیا وجوب حج از مادرم برداشته شده است یا همچنان حج بر مادرم واجب است؟,احکام و فقه
122402,اگر فردی از درآمد بین سال کالایی تهیه کند و سپس به صورت نسیه به فروش برساند نسبت به خمس درآمد مزبور چه تکلیفی دارد؟ آیا جزء درآمد سال وصول محسوب می شود یا سال معامله؟,احکام و فقه
122403,چنانچه دریچه تخلیه آب حوضچه های پرورش ماهی را به نیت صید ماهی باز کرده تا آب کاملا تخلیه شده و ماهی ها جان دهند، آیا عمل مذکور صید محسوب شده و ماهی ها حلال هستند؟,احکام و فقه
122404,اگرهنگام تشهد آخر امام جماعت رکعت اول یا سوم ماموم باشد، آیا تجافی واجب است؟ در حال تجافی چه ذکری باید بگوییم؟,احکام و فقه
122405,آیا هنگام قرائت سوره حمد در نماز باید قواعد تجوید رعایت شود؟,احکام و فقه
122410,آیا طبق معیارهای دینی، عزاداری بدعت محسوب می شود؟!,احکام و فقه
122552,شخصی برای اجارۀ خانه خود، مبلغی وجه نقد به‌عنوان قرض‌الحسنه و مبلغی هم ماهیانه مال الاجاره از مستأجر دریافت می‌کند. سکونت و خواندن نماز در این خانه چه حکمی دارد؟,احکام و فقه
122553,آیا انسان می‌تواند در بیابان، باغ یا مزرعه‌ای که حصار ندارد، نماز بخواند یا از آب تلمبه‌ای که در آن مزرعه وجود دارد وضو بگیرد؟,احکام و فقه
122554,آیا اگر در یک اتاق، هم‌زمان یک مرد و یک زن نماز بخوانند و زن جلوتر بایستد نمازشان اشکال دارد؟ معیار در این مسأله چیست؟ اگر زن محرم باشد چطور؟,احکام و فقه
122555,استفاده از بلندگوهای مسجد جهت (اجرای مراسم عزاداری و غیره) درصورتی‌که باعث نارضایتی همسایگان شود، چه حکمی دارد؟,احکام و فقه
122557,پولی متعلق به مسجد می‌باشد آیا می‌توان آن را در بانک سپرده‌گذاری کرد یا در جای دیگری سرمایه‌گذاری نمود؟ در‌آمد حاصل از سود آن پول‌ها چه حکمی دارد؟ با توجّه به این‌که اهدا کنندگان قدیمی‌ مسجد می‌گویند این...,احکام و فقه
122558,نماز خواندن در خانۀ کسانی که طبق آیۀ شریفه قرآن کریم در آن‌جا جواز خوردن داریم، بدون احراز رضایت آن‌ها چگونه است؟,احکام و فقه
122559,مدرسه‌ای است که ملک آن موقوفه است و وزارت‌ آموزش و پرورش آن را از سازمان اوقاف اجاره کرده است. نماز خواندن معلمان و مدیران در آن مدرسه چه حکمی دارد؟,احکام و فقه
122560,اگر شخصی به خاطر فقر در قطعه زمینی که صاحب آن معلوم نیست تصرّف نماید و در آن خانه‌ای بنا کند سکونت و نماز در آن خانه چه حکمی دارد؟,احکام و فقه
122561,کسی که نماز خوابیده می‌خواند و ملحفه روی اوست، درصورتی‌که ملحفه نجس باشد وظیفه‌اش چیست؟,احکام و فقه
122562,بیمار دیالیزی هستم و گاهی پیش می‌آید که اول وقت نماز در حال دیالیز هستم و اگر تا منزل بروم و تطهیر کنم ممکن است نمازم قضا شود. آیا می‌توانم در حال دیالیز نماز بخوانم؟,احکام و فقه
122563,اگر نمازگزار در بین نماز خون‌دماغ شود، تکلیف چیست؟,احکام و فقه
122564,فرد مسلوس که ادرارش قطع نمی‌شود، برای نماز چه وظیفه‌ای دارد؟,احکام و فقه
122565,شخصی نزدیک صبح جنب شده و زمانی از خواب بیدار می‌شود که وقت غسل و تطهیر ندارد لذا تیمّم بدل از غسل می‌کند تا نماز را بجا آورد. آیا می‌تواند در همان حال و با همان لباس نماز را بجا آورد؟,احکام و فقه
122566,گاهی در مأموریت‌های امدادی چند نفر از یک لباس استفاده می‌کنند؛ حکم طهارت لباس مذکور، جهت اقامۀ نماز چگونه است؟,احکام و فقه
122567,اگر لباس امدادگر در مأموریت، آلوده به نجاست گردد و فقط همان یک دست لباس را داشته باشد، نماز خواندن با آن لباس چه حکمی دارد؟,احکام و فقه
122568,کسی که خونریزی بواسیر و یا زخم بواسیر دارد و محل زخم، همیشه آلوده به خون است، حکم نمازش چیست؟ آیا می‌تواند در نماز جماعت شرکت کند؟,احکام و فقه
122569,نماز در دو لباسی که یقین دارد در یکی از آن‌ها نماز باطل خواهد بود، چگونه است؟,احکام و فقه
122570,اگر شخصی در نجاست یکی از دو لباسش مردد باشد چگونه باید نماز بخواند؟,احکام و فقه
122572,آیا پوشیدن لباس مخصوص کفّار مانند لباس مخصوص هندوها یا لباس‌های محرّک شهوت جایز است؟ نماز با آن چه حکمی دارد؟,احکام و فقه
9805,آيا در ازدواج موقت نيز مادر زن بر داماد حرمت دايمى پيدا مى‌کند؟,اخلاق اسلامی
9470,آيا زن مى‌تواند در منزل وظايف خود را انجام ندهد، مثلاً غذا نپزد، خانه را مرتّب  نکند؟ آيا مرد مى‌تواند زن را مجبور به انجام اين‌گونه امور نمايد؟,اخلاق اسلامی
9476,با توجّه به نصّ قرآن کريم مبنى بر احسان نسبت به والدين، در صورت عدم رضايت و اذن شوهر، آيا زن مى‌تواند بدون توجّه به اذن شوهر، براى رسيدگى به پدر و مادر از منزل خارج شود؟,اخلاق اسلامی
9483,آيا کمک مالى شوهر به خانواده‌ى خويش ـ با توجه به درآمد کم خود ـ درست است؟,اخلاق اسلامی
9484,آيا زن در انتخاب پوشش، بايد مطيع همسر خود باشد؟,اخلاق اسلامی
9495,اگر شوهر از زن بخواهد که در مجالس عروسى و ميهمانى شرکت کند، وظيفه‌ى او چيست؟,اخلاق اسلامی
9496,خانم من حقوقش را پس‌انداز مى‌کند يا به پدر و مادرش مى‌دهد و در خانه خرج نمى‌کند، آيا چنين حقى دارد؟,اخلاق اسلامی
9498,آيا من درآمدم را به شوهر بدهم يا اين که آن‌ها را پس انداز نمايم و در موارد ضرورى به او کمک کنم؟,اخلاق اسلامی
9517,نزديکى و همخوابى با همسر چه تفاوتى دارد؟,اخلاق اسلامی
9520,آيا مرد مى‌تواند شير همسر شرعى خود را بخورد؟,اخلاق اسلامی
9639,کسى که در ايّام قبل از تکليف از مغازه‌ى پدر خود مخفيانه پولى برمى‌داشته است، اکنون که پدر از دنيا رفته وظيفه‌ى او چيست؟,اخلاق اسلامی
9640,معلولى که فرزندان او فوت کرده‌اند و يا در محلّ نباشند يا دسترسى به آن‌ها مشکل باشد، آيا نگهدارى جدّ و جدّه‌ى معلول به عهده‌ى نوه‌هاى او اعمّ از پسر يا دختر مى‌باشند؟,اخلاق اسلامی
9641,تأمين مخارج پدر و مادر نيازمند تنها به عهده‌ى فرزندان پسر وى مى‌باشد، يا دختران نيز در صورتى که درآمد شخصى داشته باشند، در اين مورد مسؤوليتى دارند؟,اخلاق اسلامی
9642,هر گاه پدر و مادر، بيمار و يا معلول باشند که نياز به پرستارى و نگهدارى داشته باشند، آيا نگهدارى آن‌ها فقط به عهده‌ى فرزندان پسر مى‌باشد يا دختران نيز در اين مورد مسؤوليتى دارند و در صورتى که پدر و مادر فرزند پسرى نداشته باشند، آيا  وظيفه‌ى نگهدارى و پرستارى آنان به عهده‌ى دختر مى‌باشد؟,اخلاق اسلامی
9655,بخشيدن وسايل منزل اگر مورد استفاده نباشد، بدون اجازه پدر جايز است؟,اخلاق اسلامی
9043,ذى‌رحم دقيقا چه کسانى را شامل مى‌شود؟,اخلاق اسلامی
9049,در هبه‌اى‌که شرط عوض شده است، آيا فرقى بين ذى‌رحم و غير ذى‌رحم است؟,اخلاق اسلامی
9194,شخصى نه اهل نماز و نه روزه است، در حين صحبت با همکارانش و يا هنگام خشم، نعوذ باللّه‌ نسبت به خداوند متعال فحّاشى نموده است و بار دوم تکرار نموده است و گفته است چه کسى آخرت را ديده، تکليف شرعى ما در اين باره چيست؟ مرقوم فرماييد؟,اخلاق اسلامی
9197,وظيفه مردى که همسرش به قرآن اهانت نموده و مقدسات دين را منکر شود چيست؟,اخلاق اسلامی
9232,در همسايگى ما، مؤسسات يا مدارسى محلى را اجاره کرده‌اند و باعث آزار و اذيت همسايگان مى‌شوند و به تذکرات ديگران هم اهميت نمى‌دهند، چه بايد کرد؟,اخلاق اسلامی
9755,فرزندى که با استفاده از تلقيح مصنوعى در دستگاه، پرورش يافته متعلق به کيست؟,اخلاق اسلامی
9768,آيا منظور از رعايت غبطه، غبطه‌ى واقعى است و يا آن چه که ولىّ، غبطه تصوّر مى‌کند، هر چند در حقيقت بر خلاف غبطه باشد، همان غبطه محسوب مى‌شود؟,اخلاق اسلامی
9769,طفلى پس از بلوغ، رشيد نشده است و نياز به سرپرستى دارد، چه کسى سرپرست او است؟,اخلاق اسلامی
9770,آيا مى‌توان بچه را براى يادگيرى تنبيه کرد؟,اخلاق اسلامی
9772,اگر کودکى که از دنيا رفته، در زمان حيات آسيبى به کسى وارد کرده است، آيا خانواده او بايد از آن شخص حلاليت بطلبند؟,اخلاق اسلامی
9775,در صله‌ى رحم نسبت قُرب و بُعد ارحام بر چه ملاکى استوار است و آيا تلفن کردن براى صله رحم کافى است؟,اخلاق اسلامی
9778,آيا انسان مى‌تواند براى حفظ ايمان خود با ارحام قطع رحم نمايد؟,اخلاق اسلامی
9782,پسر عمويى دارم که اهل دروغ و ساير اوصاف رذيله‌اى است که بى‌ايمانى او را اثبات مى‌کند، آيا رابطه با او صحيح است يا نه؟,اخلاق اسلامی
9662,گاهى افردى که صاحب فرزند نمى‌شوند، دخترى يا پسرى از پرورشگاه مى‌گيرند. آيا راهى براى محرم شدن او بر پدر و مادرخوانده وجود دارد؟,اخلاق اسلامی
9664,شانزده سال پيش بچه‌ايى را به فرزندى قبول کرديم، اکنون او به بلوغ رسيده  است، خواهر و مادر خوانده از نظر پوشش چه کنند؟ با توجه به اين که از نظر روحى به او ضربه وارد نشود.,اخلاق اسلامی
9692,معمولاً خانواده‌ى عروس بعد از عقد و عروسى، براى دخترشان هدايايى مى‌برند. پس از جدا شدن اين عروس و داماد يا مرگ عروس اين هدايا متعلّق به چه کسى است؟,اخلاق اسلامی
9700,اگر بعد از ازدواج، پدر و مادر زن به دلايلى مانند بى‌کار بودن داماد يا نداشتن خانه و... براى مدتى طولانى بين آن دو جدايى بياندازند، شوهر در اين جا چه تکليفى دارد؟,اخلاق اسلامی
9710,منظور از عدالت ميان همسران چيست؟,اخلاق اسلامی
9713,"آيا شوهر مى‌تواند در مقابل ديگران، عيوب زنش را بگويد و او را تحقير کند، اگرچه به شوخى باشد؟

) در صورتى که زن ناراحت شود؟

) در صورتى که زن ناراحت نشود؟",اخلاق اسلامی
9716,آيا به خنثاى مشکل، عنوان زن (مؤنث) اطلاق مى‌شود يا مرد؟,اخلاق اسلامی
9721,مردى زوجه‌اش را کتک و افتراهاى فراوان ناموسى و حيثيّتى مى‌زند. زوجه در اثر  ضربات، بى‌هوش مى‌شود. چند ساعت پس از درمان پزشک، به هوش مى‌آيد. زوج، با ميل و اراده خود، وى را به منزل پدرش مى‌برد و تا شش ماه وى را رها مى‌کند و هيچ تماسى جهت درخواست مراجعت نمى‌گيرد. تنها مى‌گويد زوجه بايد بدون قيد و شرط به منزلم بازگردد. آيا خوددارى زوجه از مراجعت به منزل شوهر، در فرض عدم امنيت جانى و مالى و ناموسى، نشوز محسوب مى‌شود؟,اخلاق اسلامی
9735,آيا بر پدر واجب است خواندن و نوشتن را به فرزندان خود ياد دهد؟,اخلاق اسلامی
9737,آيا براى جلوگيرى والدين از خلافى که مکرر انجام مى‌دهند و با هيچ راهى هم قانع نمى‌شوند، مى‌توان با خشونت با آن‌ها رفتار کرد؟,اخلاق اسلامی
9738,آيا فرزند در برابر غذاى حرامى که پدر به خانه مى‌آورد، مسؤوليت دارد؟,اخلاق اسلامی
9740,آيا رفتن به سينما بدون اجازه‌ى پدر، اشکال ندارد؟,اخلاق اسلامی
9741,آيا در اهداى خون، اجازه‌ى پدر و مادر شرط است؟,اخلاق اسلامی
9742,آيا قطع رابطه با مادر جهت افعال و رفتار آزار دهنده مادر، جايز است؟,اخلاق اسلامی
9744,هنگامى که پدر و مادر غيبت شخصى را مى‌نمايند، وظيفه فرزند در برخورد با والدين چيست؟,اخلاق اسلامی
9746,در چه صورتى مخالفت با پدر و مادر جايز است؟,اخلاق اسلامی
9748,اطاعت از پدر و مادر، تا چه اندازه لازم است؟,اخلاق اسلامی
9751,آيا برادر حق دارد که برادر يا خواهر خود را تنبيه کند؟,اخلاق اسلامی
9111,کسانى که در دامنه‌ى کوه يا تپّه خانه مى‌سازند، آيا حق دارند از احياى زمين‌هاى بالاتر از خانه‌ى خودشان در دامنه‌ى کوه يا تپّه ـ به عنوان حريم ـ ممانعت کنند؟,اخلاق اسلامی
9147,فرد مقروض و آبرومندى هستم. آيا اگر از کسى براى ديگرى ـ بدون مشخص کردن اسم او ـ کمک بگيرم و خودم خرج کنم، اشکال دارد؟,اخلاق اسلامی
9148,در خوابگاه زياد از هم‌ديگر پول و غيره مى‌گيريم، اگر کسى بعضى از موارد را فراموش کرد، تکليفش چيست؟,اخلاق اسلامی
9096,بنده پول از مردم مى‌گيرم تا کار کنم اما تا با اين پول کار شود، سه واسطه مى‌گردد تا به شخص اصلى که سرمايه گذارى مى‌کند مى‌رسد و ما واسطه‌ها مقدارى از سود حاصله را برمى‌داريم و بقيه را به مردم مى‌دهيم، آيا اين کار صحيح است؟,اخلاق اسلامی
