_id,question.text.fa
9821,اينجانب تصميم به ازدواج موقّت با زن يائسه‌اى دارم. اگر از وى سؤال کنم که يائسه هستى و در جواب بگويد آرى، هم چنين اگر سؤال شود که شوهر دارد يا نه،  بگويد شوهر ندارم، آيا قول او شرعا حجّت است و من مى‌توانم با او ازدواج کنم؟
9822,دخترى ٢۴ ساله هستم. حدود ۶ سال پيش در حالى که باکره بودم، به صيغه‌ى موقّت مردى درآمدم و اکنون بعد از ۶ سال احتمال ٩٩% مى‌دهم که نه مهريّه تعيين شده بود و نه مدّت عقد مشخص گرديده بود و اکنون هم هيچ دسترسى به آن مرد ندارم. تکليف بنده چيست؟ آيا بنده به عقد دايم ايشان درآمده‌ام يا اين که عقد باطل بوده و اکنون مى‌توانم ازدواج کنم؟
9823,آيا ازدواج موقّت ٩٩ ساله صحيح است و آيا حکم عقد دايم را پيدا مى‌کند؟
9824,اگر بدون علم به لزوم تعيين مهر و زمان در ازدواج موقت، زن و مردى ازدواج کنند و فرزندى حاصل شود، بعد به لزوم تعيين پى ببرند، آيا ازدواج آن‌ها حرام بوده و بچه آن‌ها حلال‌زاده نمى‌باشد؟
9825,در ازدواج موقت، در شرايطى که زن در عسر و حرج واقع شود، آيا اجبار مرد بر بذل مدت باقى مانده صحيح مى‌باشد؟
9826,آيا نحوه ازدواج موقت با زن مسلمان و غير مسلمان متفاوت است؟ اگر زن و مرد از دو جاى متفاوت و با زبان مختلف باشند، نحوه جارى ساختن صيغه موقت چگونه است؟
9827,ازدواج موقت با زنان اهل کتاب که بدون مهريه، راضى به اين ازدواج باشند صحيح است؟
9828,مردى است زرتشتى به زن مسلمانى مراجعه و خود را مسلمان و پيرو شريعت مقدّس اسلام معرّفى مى‌کند. مطابق موازين شرع اسلام، نزد عاقد مسلمان و واجد شرايط با انعقاد عقد ازدواج به طريقه‌ى اسلامى و به صورت موقت آن زن را تزويج و در سند نکاحيّه رسمى، مذهب خود را مسلمان اعلام مى‌دارد. بعدا معلوم مى‌گردد که او مجوسى است، حاصل اين ازدواج دو فرزند است. حکم ازدواج فوق چيست؟  آيا اين مرد و دو نفر فرزندان مذکور مسلمان شناخته مى‌شوند؟ زوجه مذکوره چه وظيفه‌اى دارد؟
9829,آيا ازدواج موقّت با زن مجوسى جايز است يا نه؟
9830,آيا مرد مسلمانى که همسر مسلمان دارد، مى‌تواند زن اهل کتاب را به عقد موقّت خود درآورد؟
9831,آيا فواحش را مى‌توان عقد موقّت کرد؟
9832,متعه نمودن زنان بدکاره چه حکمى دارد؟ و بايد شرايط ازدواج موقت از نظر عده و... رعايت شود يا نه؟
9833,مردى زنى را به عقد موقّت خود درمى‌آورد. در بين مباشرت با آن زن شک مى‌کند که آيا او از زنانى است که زياد صيغه مى‌شود و عدّه نگه نمى‌دارد يا نه؟، آيا تحقيق واجب است؟
9834,آيا در ازدواج موقت نيازى به ثبت آن در محضر رسمى مى‌باشد؟
9835,اگر مردى به همسرش دسترسى نداشته باشد، آيا بدون اجازه او مى‌تواند زنى را صيغه کند؟
9836,آيا مرد با داشتن همسر دايم، مى‌تواند ازدواج موقت کند؟ رضايت و اجازه همسر دايمى او چه نقشى دارد؟
9837,کسى که طواف نساء و نماز آن را به جا نياورده، آيا مى‌تواند ازدواج موقت کند؟
9838,فرزندى که از ازدواج موقت متولد مى‌شود مربوط به پدر است يا مادر؟
9839,آيا اين مطلب صحيح است که مسؤوليت طفل حاصل از نزديکى در زمان ازدواج موقت با مرد نمى‌باشد؟
9840,در ازدواج‌هاى وقت، که گاهى شوهر براى مدتى طولانى مفقود مى‌شود، اگر زن در اين مدت مرتکب زنا شود، آيا بر شوهرش حرام ابدى مى‌شود؟
9841,زنانى که شناخته شده هستند که فقط براى گرفتن مهريه ازدواج مى‌کنند و بعد از گرفتن آن از شوهر جدا مى‌شوند، اگر کسى عالم يا جاهل به اين موضوع با آن‌ها ازدواج کند و اين بلا بر سر او آيد، آيا مى‌تواند از دادن مهريه خوددارى کند يا خير؟
9842,شخصى زن جوانى را متعه کرده و با اقرار خود مواقعه نيز انجام شده و زن مزبور پس از آن حامله شده است و طفل را به مرد متمتّع نسبت مى‌دهد ولى مرد منکر الحاق ولد به خود مى‌باشد. آيا قسم به نفى ولد از طرف مرد در اين صورت مشروعيّت دارد؟
9843,تکليف زنانى که براى چند سال به ازدواج موقت مردى در مى‌آيند؛ ولى بعد از مدتى ديگر، از آن مرد خبرى نمى‌شود، چه مى‌باشد؟
9844,در ازدواج موقت، حدود اطاعت زن از شوهر، شامل چه مواردى مى‌باشد؟
9845,هر گاه زنى را يک ساله متعه کرده پس از شش ماه مى‌خواهد او را به عقد دايم درآورد، وظيفه چيست؟
9468,زن کارمندى است که با اجازه‌ى شوهر کار مى‌کند و حقوق مى‌گيرد. آيا مى‌تواند حقوق خود را بدون اجازه‌ى شوهر مصرف کند يا صدقه بدهد يا به کسى هديه بدهد؟ در تمام اين موارد اجازه‌ى شوهر لازم است؟
9469,در عرف، معمول است که زن کارهاى خانه را انجام مى‌دهد. آيا مى‌توان گفت زن و شوهر با توجّه به اين عرف به صورت ارتکازى، عقد را به اين مبنا انجام مى‌دهند که زوجه در منزل کار کند؟ لذا زوجه جهت انجام کارهاى منزل آيا مزدى طلب‌کار نيست؟
9470,آيا زن مى‌تواند در منزل وظايف خود را انجام ندهد، مثلاً غذا نپزد، خانه را مرتّب  نکند؟ آيا مرد مى‌تواند زن را مجبور به انجام اين‌گونه امور نمايد؟
9471,حکم کار خانم‌ها در اجتماع چيست؟
9472,کار زن در مراکز تعليم و تربيت به صورت مختلط با اساتيد مرد ـ که گاهى جلسات مشورتى مشترک منعقد مى‌شود ـ چه حکمى دارد؟
9473,شرکت زن در مجامع کارى، ادارى و امور اجتماعى جايز است يا نه؟
9474,اشتغال زنان در مواردى که شغل آن‌ها صد در صد مورد نياز جامعه نيست (مثل ادارات) و نيز خانواده نياز مبرم به حقوق دريافتى آنان ندارند، (فقط به اين عنوان که زن هم عضوى از خانواده و اجتماع است و بايد در مسايل روزمرّه دخيل باشد)، چه حکمى دارد؟
9475,مردى همسرش را طلاق داده است. زن مى‌گويد: خدمات من در خانه تبرّعى نبوده، لذا مطالبه‌ى اجرت‌المثل مى‌کند. آيا ادّعاى زن قابل قبول است يا خير؟
9476,با توجّه به نصّ قرآن کريم مبنى بر احسان نسبت به والدين، در صورت عدم رضايت و اذن شوهر، آيا زن مى‌تواند بدون توجّه به اذن شوهر، براى رسيدگى به پدر و مادر از منزل خارج شود؟
9477,اگر من بخواهم به خانه‌ى خواهر يا مادر يا دوستم بروم، شوهرم سخت‌گيرى نمى‌کند و حتّى گاه خوشحال مى‌شود، ولى اگر بخواهم در جلسات مذهبى مثل جلسات سخنرانى، جمعه و جماعات بروم، سخت عصبانى شده و بد مى‌گويد. با توجّه به اين که واقعا اين کلاس‌ها براى من سازنده است، آيا مى‌توانم به بهانه‌ى رفتن به منزل مادر و... به آن جا بروم؟
9478,آيا زن مى‌تواند بدون اجازه‌ى شوهر، براى فراگيرى مسايل شرعى يا مسجد يا نماز جمعه يا مجالس مذهبى از خانه خارج شود؟
9479,رانندگى کردن و خريد رفتن زنان در مواقعى که نياز و ضرورت تامّ نباشد، چه طور است؟
9480,آيا در هر شرايطى، زن نبايد بدون اجازه شوهر از خانه خارج شود؟
9481,خرج کردن مال شوهر، بدون اجازه، چه حکمى دارد؟
9482,آيا اگر مرد نفقه همسر خود را نپردازد، گناه‌کار است؟
9483,آيا کمک مالى شوهر به خانواده‌ى خويش ـ با توجه به درآمد کم خود ـ درست است؟
9484,آيا زن در انتخاب پوشش، بايد مطيع همسر خود باشد؟
9485,در مواردى که بين حکم والدين و شوهر تباين و تضادّ حاکم است، وظيفه‌ى زن تبعيّت از کدام است و کدام يک اولويّت دارد؟
9486,وظيفه زن در قبال شوهرى که ريش مى‌تراشد و در مجالس عروسى شرکت مى‌کند و طبق احکام شرع رفتار نمى‌کند، چيست؟
9487,سهم زن در مالکيت اموالى که پا به پاى شوهرش به دست آورده‌اند چيست؟
9488,در صورت تلاقى مستحبات با حقوق شوهر، وظيفه زن چيست؟
9489,آيا تهيه مسکن وظيفه مرد است و آيا مرد مى‌تواند از مسکن زن استفاده کند و آيا حق نفقه همسر قابل انتقال يا اسقاط است؟
9490,آيا مرد مى‌تواند در مقابل کار زن در بيرون از خانه، چيزى از درآمد او را مطالبه کند؟
9491,در تعارض بين حقوق شوهر و پدر و مادر کدام يک مقدم است.
9492,آيا زن مى‌تواند بدون اجازه شوهر از اموال او انفاق کند؟
9493,اگر زنى مالى بدون اجازه شوهر نذر بنمايد، چه حکمى دارد؟
9494,آيا زن مى‌تواند از پول خودش صدقه بدهد؟
9495,اگر شوهر از زن بخواهد که در مجالس عروسى و ميهمانى شرکت کند، وظيفه‌ى او چيست؟
9496,خانم من حقوقش را پس‌انداز مى‌کند يا به پدر و مادرش مى‌دهد و در خانه خرج نمى‌کند، آيا چنين حقى دارد؟
9497,اگر زن درآمد مستقلى دارد، مى‌تواند حقوق خود را بدون اذن شوهر خرج کند؟
9498,آيا من درآمدم را به شوهر بدهم يا اين که آن‌ها را پس انداز نمايم و در موارد ضرورى به او کمک کنم؟
9499,اگر زن هنگام ازدواج، جهيزيه‌اش را با پول مرد بخرد، هنگام طلاق مى‌تواند جهيزيه را پس بگيرد؟
9500,آيا اگر شوهر امر کند که زن موهايش را کوتاه يا بلند بگذارد، اطاعت از او لازم است؟
9501,اگر کسى با زن کارمندى ازدواج کند، آيا پس از ازدواج مى‌تواند از ادامه‌ى اشتغال زن مانع شود؟
9502,آيا زن بدون اجازه شوهر مى‌تواند براى فعاليت‌هاى سياسى و اقتصادى و اجتماعى و فرهنگى از منزل خارج شود؟
9503,آيا استحاضه نيز از نظر روابط زناشويى حکم حيض دارد؟
9504,چرا نزديکى با همسر اين قدر مهم است که حتى موقعى که آب براى غسل نيست، مى‌شود نزديکى کرد و سپس تيمم نمود؟
9505,استفاده از وسايل محرک قواى شهوانى در روابط زناشويى و نيز ديدن عکس يا  فيلم‌هاى غير اخلاقى توسط زوجين در هنگام نزديکى چه حکمى دارد؟
9506,سخن‌هاى تحريک کننده مثل جوک‌هاى شهوت‌انگيز يا سخن درباره زن و مرد غريبه و يا به کار بردن الفاظ رکيک در چنين اوقاتى چه حکمى دارد؟
9507,آيا دخول از پشت (دبر) همسر از نظر شرعى جايز است؟
9508,جماع کردن رو به قبله يا پشت به قبله و همين‌طور صحبت کردن در جماع چه حکمى دارد؟
9509,وطى در پشت زن حائض چه حکمى دارد؟ و آيا کفّاره دارد؟
9510,اگر شوهرى زنش را در مدّت حيض مجبور به تمکين کرد، حکمش چيست؟
9511,اگر پزشکان مردى را از عمل زناشويى منع کنند، آيا زن حق دارد مرد را به اين کار وادار کند؟
9512,آيا جايز است شوهر با آلت مصنوعى يا با چيز ديگر ـ غير از جسدش ـ همسر خود را از لحاظ جنسى ارضا کند؟
9513,آيا جايز است زوج منى را خارج رحم بريزد؟
9514,در زمان عقد (قبل از عروسى) اجازه پدر عروس در بعضى موارد، مثل هم‌خوابى و بيرون رفتن با همسر شرط است؟
9515,اگر مردى قسم بخورد که با همسرش نزديکى نکند، آيا بر اين قسم اثرى مترتّب مى‌شود؟
9516,آيا ارضاى جنسى زن بدون دخول اشکال دارد؟
9517,نزديکى و همخوابى با همسر چه تفاوتى دارد؟
9518,نزديکى از پشت با همسر در مواقعى که آبستن است، چه حکمى دارد؟
9519,آيا سخنى که در هنگام جماع موجب تحريک مى‌شود، کراهت دارد؟
9520,آيا مرد مى‌تواند شير همسر شرعى خود را بخورد؟
9521,در حال نزديکى و مقاربت، نگاه به آلت يکديگر چه حکمى دارد؟ در حالت ايستاده چه طور؟
9522,اگر مردى با زنش از پشت نزديکى کند، آيا بر زن نيز غسل جنابت واجب مى‌شود؟
9616,هر گاه زن، فرزند دختر خود را شير بدهد، ازدواج او باطل مى‌شود. آيا اين حکم شامل دختر رضاعى هم مى‌شود و اگر زن، فرزند دختر رضاعى را شير بدهد، ازدواج باطل شود؟
9617,دختر دايى من يک ماه از مادرم شير خورده، آيا به من محرم است؟
9618,"١) زنى حدود ۴٠ سال پيش نوه‌ى دخترى خود را شير کامل داده و اين پسر  شيرخواره، وقتى به سنّ بلوغ رسيده با يکى ديگر از نوه‌هاى دخترى زن شيرده ازدواج نموده است. با توجّه به اين که زن و شوهر اوّلى ـ يعنى پدر و مادر آن نوه‌ى دخترى ـ بر يکديگر حرام هستند، تکليف اين دو نفر يعنى دو نوه‌ى دخترى چيست؟

) آيا برادر آن شيرخواره‌ى فوق‌الذّکر مى‌تواند با دختر خاله‌اش ازدواج کند؟"
9619,اگر مادر زنى به نوه دخترى‌اش شير دهد، آيا دامادش بر دختر او حرام ابدى مى‌شود؟
9620,آيا پسر که شير مادربزرگ خود يعنى مادر مادر را خورده، مى‌تواند با دخترخاله‌اش ازدواج کند؟
9621,شخصى شير زنى را خورده که مادر رضاعى او مى‌شود و بعد از مدّتى شوهرديگرى کرده است که از اين شوهر دوّم بچّه‌اى به دنيا آورده است. آيا مى‌تواند با دخترى که از شوهر دوّم به دنيا آورده است ازدواج کند؟
9622,آيا بر زوج لازم است که آن چه معمولاً تمام زن‌ها به آن نياز دارند را به عنوان نفقه براى زوجه تهيّه کند، يا فقط تهيه غذا و مسکن و لباس براى او لازم است؟
9623,نفقه‌ى زندانى به عهده‌ى بيت‌المال است يا خود افراد؟ نفقه افراد واجب‌النّفقه‌ى زندانى چه طور؟
9624,اينجانب مدّت سه سال است که دخترخانمى را به عقد رسمى خود درآورده‌ام و زوجه به هيچ عنوان حاضر به تمکين با بنده نمى‌شود. وظيفه‌ى اينجانب را در خصوص اين مسأله عنوان فرماييد.
9625,زنى که براى وصول مهريه تمکين نمى‌کند، آيا مستحقّ نفقه مى‌باشد؟
9626,زنى که بدون اجازه‌ى شوهر از خانه‌ى شوهر بيرون رفته باشد و با وساطت ديگران هم به خانه‌ى شوهر برنگردد و ادّعاى مخارج نمايد، آيا شوهر مديون زن است؟
9627,نفقه دختر در زمان عقد بر عهده چه کسى است؟
9628,اگر عرف جامعه اهتمام زوج را به فراهم نمودن هزينه‌ى دارو و درمان زوجه‌ى مريضه لازم بشمارد، با نظر به اين که مداواى بيمارى عقلاً و عرفا جزو نيازمندى‌هاى اوّليه‌ى هر انسانى مى‌باشد، آيا فراهم نمودن هزينه‌ى دارو و درمان زوجه‌ى بيمار جزو نفقه زوجه محسوب مى‌گردد يا خير؟
9629,مردى که زنى را به عقد دايم خود درآورده است، ولى بنا به شرايط [اقتصادى] مثلاً بگويد که سه ماه ديگر او را به خانه مى‌برم حقّ خرج او بر پدر است يا شوهر؟ و  آيا اجازه‌ى خروج از منزل پدرى در راه‌هاى دور و نزديک با پدر است يا شوهر؟
9630,آيا زن مى‌تواند مخارج روزهاى آينده را از شوهر مطالبه کند؟
9631,آيا زن مى‌تواند مخارج روزهاى گذشته را که مرد نپرداخته و زن از پول خودش خرج کرده يا از پس‌انداز مخارج روزهاى قبل خرج کرده را از شوهر مطالبه نمايد؟
9632,آيا مرد مى‌تواند پول‌هايى را که زن با صرفه‌جويى در مخارج خانه پس‌انداز کرده  است از زن طلب کند؟ و آيا زن مى‌تواند بدون اذن شوهر آن پس‌انداز را خرج نمايد؟
9633,شوهر زن مؤمنه‌اى نفقه‌ى او را نمى‌دهد، علاوه بر آن که او را در منزلى نگاه داشته که اين منزل از پول زکات داده‌نشده‌اى خريدارى گرديده است و زن نيز تمکن پرداخت زکات را ندارد و تمکن تهيّه‌ى منزل ديگر را هم ندارد، در اين صورت تکليف زن چيست؟
9634,مخارج اولاد تا چند سال بر پدر واجب است؟ بعضى از فرزندان مى‌خواهند درس بخوانند و تا سطح دکترا ادامه دهند. آيا تا پايان تحصيلات، پدر بايد هزينه‌ى تحصيلات آن‌ها را بدهد؟
9635,آيا خرج بچّه‌ى صغير به عهده‌ى مادر است يا پدر مادر؟
9636,اينجانب مجرّد و در خانه‌ى پدرى ساکن هستم. لطفا بفرماييد بنده تا چه حدّ مجازم از وسايل خانه‌ى پدرى استفاده کنم؟
9637,پدرى، دختر شاغلى دارد که هنوز ازدواج نکرده و فعلاً به شهر ديگرى انتقال يافته است و در منزل پدرى زندگى نمى‌کند. آيا پدر مى‌تواند بدون اجازه‌ى فرزند از چيزهايى که فرزند در زمان بودنش در خانه و قبل از انتقال، از حقوق خود خريدارى و تهيه نموده تصرّف کند؟
9638,گاهى هر دو الى سه ماه به منزل پدرم مى‌روم و ايشان مقيّد به لقمه‌ى حرام و حلال نيست. آيا مى‌توانم در مقابل هر وعده‌ى غذايى که در خانه‌ى پدرم مى‌خورم، قيمت آن را به پدرم بدهم، مثل رستوران‌ها، تا اين که از اثرات سوء لقمه‌ى حرام فرار کنم يا خير؟
9639,کسى که در ايّام قبل از تکليف از مغازه‌ى پدر خود مخفيانه پولى برمى‌داشته است، اکنون که پدر از دنيا رفته وظيفه‌ى او چيست؟
9640,معلولى که فرزندان او فوت کرده‌اند و يا در محلّ نباشند يا دسترسى به آن‌ها مشکل باشد، آيا نگهدارى جدّ و جدّه‌ى معلول به عهده‌ى نوه‌هاى او اعمّ از پسر يا دختر مى‌باشند؟
9641,تأمين مخارج پدر و مادر نيازمند تنها به عهده‌ى فرزندان پسر وى مى‌باشد، يا دختران نيز در صورتى که درآمد شخصى داشته باشند، در اين مورد مسؤوليتى دارند؟
9642,هر گاه پدر و مادر، بيمار و يا معلول باشند که نياز به پرستارى و نگهدارى داشته باشند، آيا نگهدارى آن‌ها فقط به عهده‌ى فرزندان پسر مى‌باشد يا دختران نيز در اين مورد مسؤوليتى دارند و در صورتى که پدر و مادر فرزند پسرى نداشته باشند، آيا  وظيفه‌ى نگهدارى و پرستارى آنان به عهده‌ى دختر مى‌باشد؟
9643,آيا جايز است زن، بدون اجازه‌ى شوهر دست در جيب او کرده و براى مخارج خانه يا فرزندان پولى را بردارد؟
9644,اگر زنى بدون اجازه‌ى شوهرش از پول يا مال او بردارد ولى مى‌داند شوهرش راضى است، آيا گرفتن اجازه واجب است يا به همين اطمينان مى‌توان اکتفا کرد؟ در صورتى که احتمال دهد که او راضى است، حکم چگونه است؟
9645,اگر زنى از پولى که شوهرش براى مخارج خانه مى‌دهد، در منزل، مجلس روضه يا ختم انعام و يا... بگيرد جايز است؟
9646,اگر کارگرى فنّى براى پدر خود کار مى‌کند و پدر نصف مزد متعارف را به پسرش مى‌دهد، آيا اين پسر در مقابل نفقه‌ى همسر و فرزندانش مسؤول است؟
9647,فردى واجب النفقه صغير مى‌باشد (مانند پدر و مادر صغيرى که فرزند صغيرشان غنى باشد). آيا پرداخت نفقه بر صغير واجب است؟
9648,در صورتى که مرد از دادن نفقه به خانواده‌اش خوددارى کند، شرع مقدس چه راهى را بيان مى‌فرمايد؟
9649,اگر مردى به دلايلى مانند بيمارى و زندانى بودن و... نتواند براى مدتى نفقه خانواده‌اش را بدهد، آن‌ها مى‌توانند نفقه مدتى که پرداخت نکرده است را از او مطالبه نمايند؟
9650,ميزان نفقه زن که بر عهده شوهر مى‌باشد، بر اساس توانايى مرد است يا بر اساس  چيزهايى که زنان هم شأنِ همسر او، نياز دارند؟
9651,آيا غير از شوهر، شخص ديگرى مى‌تواند نفقه‌ى زن را بدهد؟ اگر فرد ديگر تعهد بدهد در صورتى که بر سر نفقه بين زن و شوهر اختلافى به وجود آمد، نفقه بر عهده او باشد، صحيح است؟
9652,در صورتى که زن درآمد کافى داشته باشد، آيا شوهر مى‌تواند از پرداختن نفقه به وى امتناع ورزد؟
9653,فرزند اگر محتاج همسر باشد و پدر به فکر او نباشد، آيا مى‌تواند بدون اذن او در اموالش تصرّف کند و زن بگيرد؟
9654,نفقه فرزندان تا چه سنى بر عهده پدر مى‌باشد؟ اگر مردى بخواهد از درآمد غير حلال، هزينه‌ى زندگى همسر و فرزندانش را بدهد، آن‌ها مى‌توانند از اين پول استفاده کنند؟
9655,بخشيدن وسايل منزل اگر مورد استفاده نباشد، بدون اجازه پدر جايز است؟
9656,اگر کسى پولى را که از پدرش دريافت مى‌کند در راهى مصرف کند که او راضى نباشد، چه حکمى دارد؟
9657,آيا جنينى که در رحم غير مادرش قرار گرفته است، مستحقّ نفقه مى‌باشد؟
9658,آيا برادر بزرگ‌تر مى‌تواند از اموال پدر ـ که صغير هم دارد ـ با تعهد پرداخت آن در آينده، براى ازدواج خود چيزى بردارد، طبق چه شرايطى مى‌تواند تصرف نمايد؟
9659,پدرى که در ايام کودکى نفقه فرزند را پرداخته و حالا در زمان بزرگسالى نفقه را از فرزندش مطالبه مى‌نمايد، نپرداختنش چه حکمى دارد؟
9660,کسى که درآمد او فقط به اندازه‌ى زن و بچه‌ى خود است، آيا نسبت به پدر و مادر فقير خود مسؤوليت دارد؟
9661,چگونگى محرميّت زن و مرد با بچه‌اى که به فرزندى قبول کرده‌اند را بيان فرماييد؟ حکم محرميت فرزند خوانده با ساير بچه‌هاى اين زن و مرد چه مى‌باشد؟
9011,فردى پس از آن که اموال خود را به کسى صلح نمود، فوت مى‌کند، آيا مفاد صلح به حال خود باقى است يا تنفيذ ورثه‌ى او لازم است؟
9012,فردى مالى را به ديگرى صلح کرده است که تمام منافع آن تا زمان حياتش براى صلح کننده باشد و حقّ فسخ نيز داشته باشد و پس از مرگش، آن را خرج نماز و روزه و حجّ براى او کنند. آيا چنين مصالحه‌اى صحيح است؟
9013,شخصى متاعى را نسيه مى‌خرد و شخص ثالثى براى اطمينان فروشنده، چک به نام او صادر مى‌کند. آيا اين عمل ضمان محسوب مى‌شود؟
9014,"١) آيا ضمانت در مورد معامله و دين (بدهکارى) صحيح است؟

) در صورتى که معلوم شود اصلاً دينى (بدهکارى) در کار نبوده، حکم چيست؟"
9015,شخصى مى‌خواست پولى را جهت مضاربه به عامل بدهد، امّا چون او را نمى‌شناخت به سوّمى گفت: اگر شما تمام يا بخشى از سرمايه را ضمانت کنيد، مقدار معيّنى از سود آن را به شما مى‌دهم. در اين صورت اگر سرمايه از دست رفت، چه کسى ضامن است؟
9016,مؤسسه‌اى با شرکت فروش کالا قرارداد بسته که جهت ايجاد تسهيلات براى مراجعين، افرادى که کارت مؤسسه را آوردند و به شرکت ارايه کردند، اجناس را به آن‌ها بفروشد و ثمن معامله را از آن‌ها نگيرد، بلکه بعدا از مؤسسه بگيرد. آيا اين کار مشروع است؟
9017,اگر شخصى ضمانت زندانى‌اى ـ را که مديون به دين يا ديه‌اى باشد ـ قبول نمايد و آن زندانى سوء استفاده کرده و فرار کند، ضامن چه کسى است؟
9018,کسى که يا دسته چک ندارد و يا موجودى در حساب خود ندارد، آيا مى‌تواند چکى به عنوان وثيقه ضمانت از شخص ديگرى صادر کند؟
9019,اگر کسى بگويد من ضامن فلان شخص مى‌شوم که اگر پول يا مال را نداد من مى‌دهم، آيا در اين صورت ضامن است؟ و اگر چند نفر ضامن شخصى شدند، اگر مديون نداد چه کسى بايد بپردازد؟
9020,پسرى که چندين سال متمادى در کشاورزى و کارگرى، در زمين و خانه با پدر همکارى داشته و پدر وعده داده که در خانه و زمين، با هم شريک هستيم، حال خلف وعده کرده و مى‌گويد: شما شريک نيستى، حکم مسأله چيست و آيا پسر شرکت ندارد؟
9021,مشارکت در تجارت با کسى که خمس اموالش را نمى‌دهد، چه حکمى دارد؟
9022,امروزه هنگام طلاق و جدايى زن و مرد مى‌گويند: «چون زن شريک زندگى بوده و مدّت طولانى در کنار مرد بوده، حقّ شرکت در تمام اموال و دارايى مرد دارد و نصف اموال را بايد به او بدهند»، اين شرکت شرعا صحيح مى‌باشد، آيا زن حقّ دارد نصف اموال مرد را مطالبه کند؟
9023,زمين لم‌يزرعى به نحو مشاع، مال سه نفر است يکى از سه نفر قسمتى از آن را آباد کرده و بقيه‌ى آن، به صورت لم‌يزرع باقى است، آيا آن دو نفر ديگر از قسمت آباد شده با بودن قسمت آباد نشده سهمى دارند يا خير؟ تکليف اين دو نفر نسبت به آبادکننده چيست؟
